arm,instance,model,featurizer,featurizer_args,model_args,dataset,dataset_rows,cross_validation,fold,wall_s,featurize_s,fit_s,predict_s,dataset_load_s,peak_rss_mb,peak_vram_mb,epochs,device,X_shape,n_train,n_test,status,task_cost_usd,task_realtime_s,tier,model_class,compute_class,instance_family
batch_gpu,g4dn.xlarge,MLP,KMersCounts,"{""k"": [1, 2], ""modification_abundance"": true}","{""dropout"": 0, ""hidden_dims"": [64, 64]}",asoptimizer_cleaned,32602,nucleobase,0,244.72142346799995,67.0029763,125.37715002900006,0.07915352800000619,0.449018518999992,1525.936128,17.192448,65.0,cuda:Tesla T4,"[25428, 38]",25428.0,7174.0,ok,0.1724111186,1170.648,L,MLP,gpu,g4dn
batch_gpu,g4dn.xlarge,MLP,KMersCounts,"{""k"": [1, 2], ""modification_abundance"": true}","{""dropout"": 0, ""hidden_dims"": [64, 64]}",asoptimizer_cleaned,32602,nucleobase,1,267.54270513999995,67.73355541399997,146.58095806200004,0.10928264699998635,0.449018518999992,1639.866368,17.195008,76.0,cuda:Tesla T4,"[25448, 39]",25448.0,7154.0,ok,0.1724111186,1170.648,L,MLP,gpu,g4dn
batch_gpu,g4dn.xlarge,MLP,KMersCounts,"{""k"": [1, 2], ""modification_abundance"": true}","{""dropout"": 0, ""hidden_dims"": [64, 64]}",asoptimizer_cleaned,32602,nucleobase,2,204.028761702,67.18529709999996,83.69223806900004,0.1023505059999934,0.449018518999992,1676.156928,17.195008,47.0,cuda:Tesla T4,"[23423, 39]",23423.0,9179.0,ok,0.1724111186,1170.648,L,MLP,gpu,g4dn
batch_gpu,g4dn.xlarge,MLP,KMersCounts,"{""k"": [1, 2], ""modification_abundance"": true}","{""dropout"": 0, ""hidden_dims"": [64, 64]}",asoptimizer_cleaned,32602,nucleobase,3,194.19177123600002,67.46327228100017,73.61038185999996,0.08645344799992927,0.449018518999992,1681.354752,17.195008,41.0,cuda:Tesla T4,"[23507, 39]",23507.0,9095.0,ok,0.1724111186,1170.648,L,MLP,gpu,g4dn
batch_gpu,g4dn.xlarge,MLP,KMersCounts,"{""k"": [1, 2], ""modification_abundance"": true}","{""dropout"": 0, ""hidden_dims"": [64, 64]}",asoptimizer_cleaned,32602,nucleobase,4,251.52199149900002,67.74804497299988,130.691116469,0.09755358000006709,0.449018518999992,1663.008768,17.195008,67.0,cuda:Tesla T4,"[25606, 39]",25606.0,6996.0,ok,0.1724111186,1170.648,L,MLP,gpu,g4dn
batch_gpu,g4dn.xlarge,MLP,KMersCounts,"{""k"": [1, 2, 3], ""modification_abundance"": false}","{""dropout"": 0, ""hidden_dims"": [128, 128]}",asoptimizer_cleaned,32602,nucleobase,0,189.68677382100003,53.879334727000014,83.25196844300001,0.1704585610000322,0.4608481740000343,1575.768064,17.760768,43.0,cuda:Tesla T4,"[25428, 140]",25428.0,7174.0,ok,0.1402666728,949.686,L,MLP,gpu,g4dn
batch_gpu,g4dn.xlarge,MLP,KMersCounts,"{""k"": [1, 2, 3], ""modification_abundance"": false}","{""dropout"": 0, ""hidden_dims"": [128, 128]}",asoptimizer_cleaned,32602,nucleobase,1,188.87990926199996,54.27689245199997,81.30281970500005,0.322579281000003,0.4608481740000343,1673.064448,17.758208,42.0,cuda:Tesla T4,"[25448, 139]",25448.0,7154.0,ok,0.1402666728,949.686,L,MLP,gpu,g4dn
batch_gpu,g4dn.xlarge,MLP,KMersCounts,"{""k"": [1, 2, 3], ""modification_abundance"": false}","{""dropout"": 0, ""hidden_dims"": [128, 128]}",asoptimizer_cleaned,32602,nucleobase,2,184.69601707200002,54.833931367000105,76.726139967,0.24321566399999028,0.4608481740000343,1678.823424,17.76384,43.0,cuda:Tesla T4,"[23423, 141]",23423.0,9179.0,ok,0.1402666728,949.686,L,MLP,gpu,g4dn
batch_gpu,g4dn.xlarge,MLP,KMersCounts,"{""k"": [1, 2, 3], ""modification_abundance"": false}","{""dropout"": 0, ""hidden_dims"": [128, 128]}",asoptimizer_cleaned,32602,nucleobase,3,181.49110498699997,54.31912950099991,73.60837867399982,0.2667149189999236,0.4608481740000343,1684.25472,17.760768,41.0,cuda:Tesla T4,"[23507, 140]",23507.0,9095.0,ok,0.1402666728,949.686,L,MLP,gpu,g4dn
batch_gpu,g4dn.xlarge,MLP,KMersCounts,"{""k"": [1, 2, 3], ""modification_abundance"": false}","{""dropout"": 0, ""hidden_dims"": [128, 128]}",asoptimizer_cleaned,32602,nucleobase,4,195.8993854160001,54.00161286499997,88.71545109900012,0.2841995839999072,0.4608481740000343,1675.423744,17.76384,45.0,cuda:Tesla T4,"[25606, 141]",25606.0,6996.0,ok,0.1402666728,949.686,L,MLP,gpu,g4dn
